lambda,champion,best_pool,best_pool_point_score,best_pool_objective_score,best_pool_member,top_pool_appearances,top_pool_share,mid_pickrate,offmeta_penalty,low_pickrate_penalty,importance_ratio_penalty,lolalytics_penalty,lolalytics_available,lolalytics_breadth,lolalytics_depth,lolalytics_classification,specialist_heuristic_flag,lolalytics_source_url,lolalytics_extraction_date,lolalytics_pickrate_scope,lolalytics_depth_scope
0.0,Ahri,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.1125,0.0,0.0,0.0,0.0,True,2.43,0.97,broad,False,https://lolalytics.com/lol/ahri/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Akali,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0674,0.013333333333333345,0.0,0.0,0.040000000000000036,True,2.13,1.02,popular,False,https://lolalytics.com/lol/akali/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Akshan,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,17,0.17,0.0248,0.4683422720799187,0.0,0.40502681623975617,1.0,True,0.53,1.33,niche,True,https://lolalytics.com/lol/akshan/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Anivia,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,7,0.07,0.0332,0.4014092174765471,0.0,0.20422765242964136,1.0,True,0.89,1.05,niche,True,https://lolalytics.com/lol/anivia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Annie,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,5,0.05,0.0232,0.0690920606477088,0.0,0.20727618194312641,0.0,True,0.55,0.85,unpopular,False,https://lolalytics.com/lol/annie/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Aurelion Sol,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,17,0.17,0.0305,0.45498891987622797,0.0,0.3649667596286839,1.0,True,0.83,1.28,niche,True,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Aurora,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.034300000000000004,0.0,0.0,0.0,0.0,True,0.78,0.96,unpopular,False,https://lolalytics.com/lol/aurora/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Azir,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0229,0.3333333333333333,0.0,0.0,1.0,True,0.43,1.09,niche,True,https://lolalytics.com/lol/azir/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Brand,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,2,0.02,0.0116,0.20586830232893985,0.42000000000000004,0.17760490698681952,0.020000000000000018,True,1.6,1.01,popular,False,https://lolalytics.com/lol/brand/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Cassiopeia,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.013000000000000001,0.11666666666666665,0.35,0.0,0.0,True,0.37,0.88,unpopular,False,https://lolalytics.com/lol/cassiopeia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Cho'Gath,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0055000000000000005,0.24166666666666667,0.725,0.0,0.0,True,0.96,0.91,unpopular,False,https://lolalytics.com/lol/chogath/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Diana,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,3,0.03,0.038,0.08577783055627723,0.0,0.09733349166883153,0.16000000000000014,True,1.85,1.08,popular,False,https://lolalytics.com/lol/diana/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Ekko,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,1,0.01,0.0302,0.10187298259059469,0.0,0.04561894777178425,0.2599999999999998,True,1.48,1.13,popular,False,https://lolalytics.com/lol/ekko/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
